,Fare,Survived,family,Pclass_2,Pclass_3,Embarked_2,Embarked_3,title_2,title_3,title_4,title_5,"Age_Bucket_(5, 12]","Age_Bucket_(12, 18]","Age_Bucket_(18, 21]","Age_Bucket_(21, 30]","Age_Bucket_(30, 40]","Age_Bucket_(40, 50]","Age_Bucket_(50, 60]","Age_Bucket_(60, 70]","Age_Bucket_(70, 80]"
0,7.25,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,71.2833,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,7.925,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,53.1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,8.4583,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
6,51.8625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,21.075,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,11.1333,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9,30.0708,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10,16.7,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,26.55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12,8.05,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13,31.275,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
14,7.8542,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15,16.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16,29.125,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17,13.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
18,18.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19,7.225,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20,26.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
21,13.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
22,8.0292,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
23,35.5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
24,21.075,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
25,31.3875,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
26,7.225,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
27,263.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
28,7.8792,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
29,7.8958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30,27.7208,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,146.5208,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
32,7.75,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
33,10.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
34,82.1708,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
35,52.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,7.2292,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37,8.05,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
38,18.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
39,11.2417,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
40,9.475,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
41,21.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
42,7.8958,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
43,41.5792,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,7.8792,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
45,8.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
46,15.5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
47,7.75,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
48,21.6792,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
49,17.8,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
50,39.6875,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
51,7.8,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
52,76.7292,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
53,26.0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
54,61.9792,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
55,35.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
56,10.5,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
57,7.2292,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
58,27.75,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,46.9,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
60,7.2292,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
61,80.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
62,83.475,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
63,27.9,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,27.7208,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
65,15.2458,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
